what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435834362383
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435834367906
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435834372334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834376592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834386447
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1435834386451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1435834386451
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435834404522
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435834404565
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435834406913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834413351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834415746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834415771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834418187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834429438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834432043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834446336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834456178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834456461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435834460361
