what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1435847970280
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1435847970280
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1435847970281
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1435847970281
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1435847970290
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1435847970290
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1435847970290
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1435847970291
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1435847970291
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1435847970291
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1435847970292
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1435847970292
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1435847970292
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1435847970293
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1435847970293
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1435847970293
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1435847970294
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1435847970294
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1435847970294
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1435847970294
os,sysinfo,,,"win32",1435847970296
arch,sysinfo,,,"x86",1435847970296
ws,sysinfo,,,"win32",1435847970296
locale,sysinfo,,,"en_GB",1435847970296
processors,sysinfo,,,"8",1435847970296
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1435847970296
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1435847970296
java.specification.name,sysinfo,,,"Java Platform API Specification",1435847970296
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1435847970296
java.specification.version,sysinfo,,,"1.6",1435847970296
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1435847970296
java.version,sysinfo,,,"1.6.0_23",1435847970296
java.vm.info,sysinfo,,,"mixed mode",1435847970296
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1435847970296
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1435847970296
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1435847970296
java.vm.specification.version,sysinfo,,,"1.0",1435847970296
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1435847970296
java.vm.version,sysinfo,,,"19.0-b09",1435847970296
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1435847970683
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1435847971354
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435847971361
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1435847971872
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1435847971902
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1435847973600
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1435847978649
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1435847978651
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1435847980438
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1435847980439
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1435847980439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847980460
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1435847981218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847981232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847984815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847989007
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1435847990775
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435847992313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847995541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847998365
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1435847998489
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1435847999173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435847999286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435848004860
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435848004873
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1435848006022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435848006025
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1435848006041
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435848010723
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1435848010883
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1435848010888
