what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951683857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951683872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951697118
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435951697129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1435951709433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1435951717053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951722168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951723404
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1435951725955
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435951727294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951729666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951731133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951731150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951796042
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435951796054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951848022
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1435951849794
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1435951849828
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1435951853024
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1435951857262
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1435951857276
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435951857380
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1435951874778
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1435951874788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951876427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1435951876436
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435951878022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951886810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951887389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951887923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951890361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951894571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951895669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951900366
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1435951910407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951912974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951912995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951914318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951919643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435951921110
