what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1328514007953
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1328514608921
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1328514608921
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1328514608937
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1328514608953
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1328514608984
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1328514609000
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1328514609031
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1328514609031
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1328514609046
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1328514609062
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1328514609078
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1328514609078
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1328514609078
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1328514609078
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1328514609093
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1328514609093
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1328514609093
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1328514609093
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1328514609093
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1328514609109
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1328514609125
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1328514609125
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1328514609140
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1328514609156
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1328514609156
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1328514609171
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1328514609171
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1328514609187
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1328514609203
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1328514609218
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1328514609218
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1328514609218
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1328514609234
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1328514609234
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1328514609234
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1328514609250
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1328514609250
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1328514609250
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1328514609265
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1328514609265
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1328514609265
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1328514609281
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1328514609296
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1328514609312
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1328514609328
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1328514609328
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1328514609343
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1328514609343
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1328514609359
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1328514609359
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1328514609359
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1328514609359
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1328514609359
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1328514609375
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1328514609406
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1328514609406
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1328514609421
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1328514609437
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328514609468
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1328514609468
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1328514609500
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1328514609531
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1328514609531
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1328514609531
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1328514609531
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1328514609531
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328514609531
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1328514609546
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1328514609578
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1328514609593
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1328514609609
os,sysinfo,,,"win32",1328514609609
arch,sysinfo,,,"x86",1328514609609
ws,sysinfo,,,"win32",1328514609609
locale,sysinfo,,,"zh_CN",1328514609609
processors,sysinfo,,,"4",1328514609609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328514609609
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1328514609609
java.specification.name,sysinfo,,,"Java Platform API Specification",1328514609609
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328514609609
java.specification.version,sysinfo,,,"1.6",1328514609609
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328514609609
java.version,sysinfo,,,"1.6.0_23",1328514609609
java.vm.info,sysinfo,,,"mixed mode",1328514609609
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328514609609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328514609609
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328514609609
java.vm.specification.version,sysinfo,,,"1.0",1328514609609
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328514609609
java.vm.version,sysinfo,,,"19.0-b09",1328514609609
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514609640
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1328514609718
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1328514609765
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328514609781
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328514610140
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1328514610171
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1328514610187
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1328514610281
started,bundle,com.altera.sbtgui.integration,11.1.0.216,"com.altera.sbtgui.integration",1328514610296
started,bundle,com.altera.systemconsole,11.1.0.216,"com.altera.systemconsole",1328514610312
started,bundle,com.altera.utilities,11.1.0.216,"com.altera.utilities",1328514610453
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1328514610968
started,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1328514611125
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328514611203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328514619156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1328514662812
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514680265
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1328514688593
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1328514688703
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1328514688718
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1328514690546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514690609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514699765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514702343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514719625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514724515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514725031
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328514725296
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328514725343
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514742781
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328514745468
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514750453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514752078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514752796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514753343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514753937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514755578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514756656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514758890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514759031
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328514760312
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514762546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514768031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514772171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514777703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514793453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514797234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514802953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514803265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514807968
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328514808890
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328514832656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514851968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514864093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514865250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514936296
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328514936296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328514938250
